"As Of Date","Time Series","Value (millions)"
"2016-03-09","PDGSWOEXT","277553"
"2016-03-16","PDGSIDBEXT","188491"
"2016-03-16","PDGSWOEXT","260503"
"2016-03-23","PDGSIDBEXT","158919"
"2016-03-23","PDGSWOEXT","234582"
"2016-03-30","PDGSIDBEXT","189066"
"2016-03-30","PDGSWOEXT","302461"
"2016-04-06","PDGSIDBEXT","181479"
"2016-04-06","PDGSWOEXT","274721"
"2016-04-13","PDGSIDBEXT","166349"
"2016-04-13","PDGSWOEXT","239188"
"2016-04-20","PDGSIDBEXT","155931"
"2016-04-20","PDGSWOEXT","226780"
"2016-04-27","PDGSIDBEXT","193155"
"2016-04-27","PDGSWOEXT","277778"
"2016-05-04","PDGSIDBEXT","181985"
"2016-05-04","PDGSWOEXT","270159"
"2016-05-11","PDGSIDBEXT","177247"
"2016-05-11","PDGSWOEXT","267559"
"2016-05-18","PDGSIDBEXT","188602"
"2016-05-18","PDGSWOEXT","284493"
"2016-05-25","PDGSIDBEXT","176065"
"2016-05-25","PDGSWOEXT","268873"
"2016-06-01","PDGSIDBEXT","209722"
"2016-06-01","PDGSWOEXT","340517"
"2016-06-08","PDGSIDBEXT","183065"
"2016-06-08","PDGSWOEXT","290051"
"2016-06-15","PDGSIDBEXT","180413"
"2016-06-15","PDGSWOEXT","256061"
"2016-06-22","PDGSIDBEXT","196662"
"2016-06-22","PDGSWOEXT","298837"
"2016-06-29","PDGSIDBEXT","237233"
"2016-06-29","PDGSWOEXT","326915"
"2016-07-06","PDGSIDBEXT","198781"
"2016-07-06","PDGSWOEXT","312442"
"2016-07-13","PDGSIDBEXT","200196"
"2016-07-13","PDGSWOEXT","298589"
"2016-07-20","PDGSIDBEXT","170404"
"2016-07-20","PDGSWOEXT","249323"
"2016-07-27","PDGSIDBEXT","194046"
"2016-07-27","PDGSWOEXT","278379"
"2016-08-03","PDGSIDBEXT","205937"
"2016-08-03","PDGSWOEXT","304118"
"2016-08-10","PDGSIDBEXT","188727"
"2016-08-10","PDGSWOEXT","271478"
"2016-08-17","PDGSIDBEXT","180253"
"2016-08-17","PDGSWOEXT","275489"
"2016-08-24","PDGSIDBEXT","166149"
"2016-08-24","PDGSWOEXT","252389"
"2016-08-31","PDGSIDBEXT","204845"
"2016-08-31","PDGSWOEXT","320176"
"2016-09-07","PDGSIDBEXT","180164"
"2016-09-07","PDGSWOEXT","278922"
"2016-09-14","PDGSIDBEXT","223923"
"2016-09-14","PDGSWOEXT","328559"
"2016-09-21","PDGSIDBEXT","176760"
"2016-09-21","PDGSWOEXT","245524"
"2016-09-28","PDGSIDBEXT","201024"
"2016-09-28","PDGSWOEXT","319726"
"2016-10-05","PDGSIDBEXT","214421"
"2016-10-05","PDGSWOEXT","344549"
"2016-10-12","PDGSIDBEXT","210991"
"2016-10-12","PDGSWOEXT","319393"
"2016-10-19","PDGSIDBEXT","197897"
"2016-10-19","PDGSWOEXT","281712"
"2016-10-26","PDGSIDBEXT","182890"
"2016-10-26","PDGSWOEXT","260588"
"2016-11-02","PDGSIDBEXT","217738"
"2016-11-02","PDGSWOEXT","337631"
"2016-11-09","PDGSIDBEXT","230671"
"2016-11-09","PDGSWOEXT","310665"
"2016-11-16","PDGSIDBEXT","317867"
"2016-11-16","PDGSWOEXT","456769"
"2016-11-23","PDGSIDBEXT","250472"
"2016-11-23","PDGSWOEXT","370429"
"2016-11-30","PDGSIDBEXT","236323"
"2016-11-30","PDGSWOEXT","347940"
"2016-12-07","PDGSIDBEXT","218216"
"2016-12-07","PDGSWOEXT","303028"
"2016-12-14","PDGSIDBEXT","221157"
"2016-12-14","PDGSWOEXT","307350"
"2016-12-21","PDGSIDBEXT","179674"
"2016-12-21","PDGSWOEXT","264135"
"2016-12-28","PDGSIDBEXT","133439"
"2016-12-28","PDGSWOEXT","214856"
"2017-01-04","PDGSIDBEXT","205655"
"2017-01-04","PDGSWOEXT","331928"
"2017-01-11","PDGSIDBEXT","196773"
"2017-01-11","PDGSWOEXT","288324"
"2017-01-18","PDGSIDBEXT","198896"
"2017-01-18","PDGSWOEXT","305891"
"2017-01-25","PDGSIDBEXT","215643"
"2017-01-25","PDGSWOEXT","314327"
"2017-02-01","PDGSIDBEXT","238241"
"2017-02-01","PDGSWOEXT","343929"
"2017-02-08","PDGSIDBEXT","206191"
"2017-02-08","PDGSWOEXT","316447"
"2017-02-15","PDGSIDBEXT","194677"
"2017-02-15","PDGSWOEXT","295172"
"2017-02-22","PDGSIDBEXT","194232"
"2017-02-22","PDGSWOEXT","295997"
"2017-03-01","PDGSIDBEXT","239772"
"2017-03-01","PDGSWOEXT","364358"
"2017-03-08","PDGSIDBEXT","211640"
"2017-03-08","PDGSWOEXT","300840"
"2017-03-15","PDGSIDBEXT","208933"
"2017-03-15","PDGSWOEXT","303703"
"2017-03-22","PDGSIDBEXT","176533"
"2017-03-22","PDGSWOEXT","248647"
"2017-03-29","PDGSIDBEXT","198971"
"2017-03-29","PDGSWOEXT","304219"
"2017-04-05","PDGSIDBEXT","218415"
"2017-04-05","PDGSWOEXT","317461"
"2017-04-12","PDGSIDBEXT","193147"
"2017-04-12","PDGSWOEXT","277581"
"2017-04-19","PDGSIDBEXT","163568"
"2017-04-19","PDGSWOEXT","246369"
"2017-04-26","PDGSIDBEXT","203365"
"2017-04-26","PDGSWOEXT","283820"
