"As Of Date","Time Series","Value (millions)"
"2020-11-25","PDGSWOEXT","422815"
"2020-12-02","PDGSIDBEXT","172470"
"2020-12-02","PDGSWOEXT","423478"
"2020-12-09","PDGSIDBEXT","145989"
"2020-12-09","PDGSWOEXT","354246"
"2020-12-16","PDGSIDBEXT","143809"
"2020-12-16","PDGSWOEXT","340525"
"2020-12-23","PDGSIDBEXT","123684"
"2020-12-23","PDGSWOEXT","306066"
"2020-12-30","PDGSIDBEXT","154878"
"2020-12-30","PDGSWOEXT","379464"
"2021-01-06","PDGSIDBEXT","174016"
"2021-01-06","PDGSWOEXT","430608"
"2021-01-13","PDGSIDBEXT","206899"
"2021-01-13","PDGSWOEXT","457690"
"2021-01-20","PDGSIDBEXT","162516"
"2021-01-20","PDGSWOEXT","411078"
"2021-01-27","PDGSIDBEXT","196539"
"2021-01-27","PDGSWOEXT","452887"
"2021-02-03","PDGSIDBEXT","204524"
"2021-02-03","PDGSWOEXT","473865"
"2021-02-10","PDGSIDBEXT","173019"
"2021-02-10","PDGSWOEXT","393229"
"2021-02-17","PDGSIDBEXT","196328"
"2021-02-17","PDGSWOEXT","446547"
"2021-02-24","PDGSIDBEXT","232825"
"2021-02-24","PDGSWOEXT","480925"
"2021-03-03","PDGSIDBEXT","305441"
"2021-03-03","PDGSWOEXT","617241"
"2021-03-10","PDGSIDBEXT","203618"
"2021-03-10","PDGSWOEXT","430160"
"2021-03-17","PDGSIDBEXT","171699"
"2021-03-17","PDGSWOEXT","387835"
"2021-03-24","PDGSIDBEXT","186730"
"2021-03-24","PDGSWOEXT","424666"
"2021-03-31","PDGSIDBEXT","194585"
"2021-03-31","PDGSWOEXT","458587"
"2021-04-07","PDGSIDBEXT","122407"
"2021-04-07","PDGSWOEXT","304958"
"2021-04-14","PDGSIDBEXT","154226"
"2021-04-14","PDGSWOEXT","366125"
"2021-04-21","PDGSIDBEXT","156454"
"2021-04-21","PDGSWOEXT","352597"
"2021-04-28","PDGSIDBEXT","173262"
"2021-04-28","PDGSWOEXT","386236"
"2021-05-05","PDGSIDBEXT","165204"
"2021-05-05","PDGSWOEXT","393916"
"2021-05-12","PDGSIDBEXT","169009"
"2021-05-12","PDGSWOEXT","364891"
"2021-05-19","PDGSIDBEXT","176070"
"2021-05-19","PDGSWOEXT","408952"
"2021-05-26","PDGSIDBEXT","172479"
"2021-05-26","PDGSWOEXT","410827"
"2021-06-02","PDGSIDBEXT","200331"
"2021-06-02","PDGSWOEXT","501524"
"2021-06-09","PDGSIDBEXT","163354"
"2021-06-09","PDGSWOEXT","378498"
"2021-06-16","PDGSIDBEXT","175073"
"2021-06-16","PDGSWOEXT","379655"
"2021-06-23","PDGSIDBEXT","222329"
"2021-06-23","PDGSWOEXT","499026"
"2021-06-30","PDGSIDBEXT","180255"
"2021-06-30","PDGSWOEXT","444527"
"2021-07-07","PDGSIDBEXT","147452"
"2021-07-07","PDGSWOEXT","335259"
"2021-07-14","PDGSIDBEXT","163380"
"2021-07-14","PDGSWOEXT","373274"
"2021-07-21","PDGSIDBEXT","172788"
"2021-07-21","PDGSWOEXT","368119"
"2021-07-28","PDGSIDBEXT","165962"
"2021-07-28","PDGSWOEXT","351588"
"2021-08-04","PDGSIDBEXT","180543"
"2021-08-04","PDGSWOEXT","412866"
"2021-08-11","PDGSIDBEXT","173161"
"2021-08-11","PDGSWOEXT","393260"
"2021-08-18","PDGSIDBEXT","153098"
"2021-08-18","PDGSWOEXT","391806"
"2021-08-25","PDGSIDBEXT","151374"
"2021-08-25","PDGSWOEXT","370421"
"2021-09-01","PDGSIDBEXT","174680"
"2021-09-01","PDGSWOEXT","437884"
"2021-09-08","PDGSIDBEXT","139795"
"2021-09-08","PDGSWOEXT","366622"
"2021-09-15","PDGSIDBEXT","143716"
"2021-09-15","PDGSWOEXT","340405"
"2021-09-22","PDGSIDBEXT","138027"
"2021-09-22","PDGSWOEXT","335578"
"2021-09-29","PDGSIDBEXT","217138"
"2021-09-29","PDGSWOEXT","523004"
"2021-10-06","PDGSIDBEXT","186321"
"2021-10-06","PDGSWOEXT","423187"
"2021-10-13","PDGSIDBEXT","212647"
"2021-10-13","PDGSWOEXT","471575"
"2021-10-20","PDGSIDBEXT","186046"
"2021-10-20","PDGSWOEXT","438305"
"2021-10-27","PDGSIDBEXT","203380"
"2021-10-27","PDGSWOEXT","425483"
"2021-11-03","PDGSIDBEXT","257641"
"2021-11-03","PDGSWOEXT","563270"
"2021-11-10","PDGSIDBEXT","212838"
"2021-11-10","PDGSWOEXT","447465"
"2021-11-17","PDGSIDBEXT","186324"
"2021-11-17","PDGSWOEXT","448436"
"2021-11-24","PDGSIDBEXT","227126"
"2021-11-24","PDGSWOEXT","486883"
"2021-12-01","PDGSIDBEXT","251553"
"2021-12-01","PDGSWOEXT","495040"
"2021-12-08","PDGSIDBEXT","203459"
"2021-12-08","PDGSWOEXT","420990"
"2021-12-15","PDGSIDBEXT","159914"
"2021-12-15","PDGSWOEXT","367773"
"2021-12-22","PDGSIDBEXT","139386"
"2021-12-22","PDGSWOEXT","345502"
