"As Of Date","Time Series","Value (millions)"
"2021-01-20","PDFTR-USTET","71946"
"2021-01-20","PDFTD-USTET","62902"
"2021-01-27","PDFTR-USTET","93764"
"2021-01-27","PDFTD-USTET","93160"
"2021-02-03","PDFTR-USTET","86668"
"2021-02-03","PDFTD-USTET","82526"
"2021-02-10","PDFTR-USTET","77849"
"2021-02-10","PDFTD-USTET","72005"
"2021-02-17","PDFTR-USTET","61159"
"2021-02-17","PDFTD-USTET","59097"
"2021-02-24","PDFTR-USTET","73427"
"2021-02-24","PDFTD-USTET","64757"
"2021-03-03","PDFTR-USTET","107753"
"2021-03-03","PDFTD-USTET","103604"
"2021-03-10","PDFTR-USTET","110284"
"2021-03-10","PDFTD-USTET","102495"
"2021-03-17","PDFTR-USTET","100260"
"2021-03-17","PDFTD-USTET","98378"
"2021-03-24","PDFTR-USTET","86763"
"2021-03-24","PDFTD-USTET","81573"
"2021-03-31","PDFTR-USTET","73705"
"2021-03-31","PDFTD-USTET","74132"
"2021-04-07","PDFTR-USTET","64965"
"2021-04-07","PDFTD-USTET","60619"
"2021-04-14","PDFTR-USTET","92677"
"2021-04-14","PDFTD-USTET","86807"
"2021-04-21","PDFTR-USTET","75728"
"2021-04-21","PDFTD-USTET","69140"
"2021-04-28","PDFTR-USTET","68829"
"2021-04-28","PDFTD-USTET","66973"
"2021-05-05","PDFTR-USTET","76080"
"2021-05-05","PDFTD-USTET","73546"
"2021-05-12","PDFTR-USTET","76883"
"2021-05-12","PDFTD-USTET","69046"
"2021-05-19","PDFTR-USTET","73921"
"2021-05-19","PDFTD-USTET","70632"
"2021-05-26","PDFTR-USTET","85111"
"2021-05-26","PDFTD-USTET","89914"
"2021-06-02","PDFTR-USTET","100702"
"2021-06-02","PDFTD-USTET","96650"
"2021-06-09","PDFTR-USTET","90525"
"2021-06-09","PDFTD-USTET","85840"
"2021-06-16","PDFTR-USTET","83448"
"2021-06-16","PDFTD-USTET","76645"
"2021-06-23","PDFTR-USTET","98256"
"2021-06-23","PDFTD-USTET","98438"
"2021-06-30","PDFTR-USTET","72225"
"2021-06-30","PDFTD-USTET","71396"
"2021-07-07","PDFTR-USTET","77721"
"2021-07-07","PDFTD-USTET","71459"
"2021-07-14","PDFTR-USTET","72723"
"2021-07-14","PDFTD-USTET","70546"
"2021-07-21","PDFTR-USTET","66517"
"2021-07-21","PDFTD-USTET","59888"
"2021-07-28","PDFTR-USTET","61100"
"2021-07-28","PDFTD-USTET","60123"
"2021-08-04","PDFTR-USTET","75048"
"2021-08-04","PDFTD-USTET","69958"
"2021-08-11","PDFTR-USTET","78028"
"2021-08-11","PDFTD-USTET","70547"
"2021-08-18","PDFTR-USTET","71920"
"2021-08-18","PDFTD-USTET","69130"
"2021-08-25","PDFTR-USTET","68305"
"2021-08-25","PDFTD-USTET","60350"
"2021-09-01","PDFTR-USTET","78694"
"2021-09-01","PDFTD-USTET","69348"
"2021-09-08","PDFTR-USTET","74277"
"2021-09-08","PDFTD-USTET","61273"
"2021-09-15","PDFTR-USTET","73050"
"2021-09-15","PDFTD-USTET","67827"
"2021-09-22","PDFTR-USTET","76947"
"2021-09-22","PDFTD-USTET","76085"
"2021-09-29","PDFTR-USTET","90148"
"2021-09-29","PDFTD-USTET","81698"
"2021-10-06","PDFTR-USTET","105575"
"2021-10-06","PDFTD-USTET","98096"
"2021-10-13","PDFTR-USTET","118125"
"2021-10-13","PDFTD-USTET","106859"
"2021-10-20","PDFTR-USTET","132462"
"2021-10-20","PDFTD-USTET","127183"
"2021-10-27","PDFTR-USTET","112876"
"2021-10-27","PDFTD-USTET","100785"
"2021-11-03","PDFTR-USTET","120625"
"2021-11-03","PDFTD-USTET","115664"
"2021-11-10","PDFTR-USTET","120776"
"2021-11-10","PDFTD-USTET","106468"
"2021-11-17","PDFTR-USTET","106482"
"2021-11-17","PDFTD-USTET","93211"
"2021-11-24","PDFTR-USTET","121941"
"2021-11-24","PDFTD-USTET","102503"
"2021-12-01","PDFTR-USTET","113276"
"2021-12-01","PDFTD-USTET","95869"
"2021-12-08","PDFTR-USTET","117856"
"2021-12-08","PDFTD-USTET","96766"
"2021-12-15","PDFTR-USTET","121770"
"2021-12-15","PDFTD-USTET","102432"
"2021-12-22","PDFTR-USTET","114041"
"2021-12-22","PDFTD-USTET","108596"
