"As Of Date","Time Series","Value (millions)"
"2016-03-23","PDFTD-USTET","81628"
"2016-03-23","PDFTR-USTET","92425"
"2016-03-30","PDFTD-USTET","97580"
"2016-03-30","PDFTR-USTET","105583"
"2016-04-06","PDFTD-USTET","97902"
"2016-04-06","PDFTR-USTET","101264"
"2016-04-13","PDFTD-USTET","131566"
"2016-04-13","PDFTR-USTET","136189"
"2016-04-20","PDFTD-USTET","73561"
"2016-04-20","PDFTR-USTET","76423"
"2016-04-27","PDFTD-USTET","72146"
"2016-04-27","PDFTR-USTET","74400"
"2016-05-04","PDFTD-USTET","84915"
"2016-05-04","PDFTR-USTET","84345"
"2016-05-11","PDFTD-USTET","95236"
"2016-05-11","PDFTR-USTET","101792"
"2016-05-18","PDFTD-USTET","84506"
"2016-05-18","PDFTR-USTET","87613"
"2016-05-25","PDFTD-USTET","96604"
"2016-05-25","PDFTR-USTET","98396"
"2016-06-01","PDFTD-USTET","106198"
"2016-06-01","PDFTR-USTET","107971"
"2016-06-08","PDFTD-USTET","100412"
"2016-06-08","PDFTR-USTET","100075"
"2016-06-15","PDFTD-USTET","83350"
"2016-06-15","PDFTR-USTET","86985"
"2016-06-22","PDFTD-USTET","97508"
"2016-06-22","PDFTR-USTET","96561"
"2016-06-29","PDFTD-USTET","98939"
"2016-06-29","PDFTR-USTET","101389"
"2016-07-06","PDFTD-USTET","130020"
"2016-07-06","PDFTR-USTET","138264"
"2016-07-13","PDFTD-USTET","118208"
"2016-07-13","PDFTR-USTET","125373"
"2016-07-20","PDFTD-USTET","145542"
"2016-07-20","PDFTR-USTET","146928"
"2016-07-27","PDFTD-USTET","172612"
"2016-07-27","PDFTR-USTET","172967"
"2016-08-03","PDFTD-USTET","114469"
"2016-08-03","PDFTR-USTET","114749"
"2016-08-10","PDFTD-USTET","95351"
"2016-08-10","PDFTR-USTET","97775"
"2016-08-17","PDFTD-USTET","93687"
"2016-08-17","PDFTR-USTET","98333"
"2016-08-24","PDFTD-USTET","77518"
"2016-08-24","PDFTR-USTET","80804"
"2016-08-31","PDFTD-USTET","122002"
"2016-08-31","PDFTR-USTET","129737"
"2016-09-07","PDFTD-USTET","197517"
"2016-09-07","PDFTR-USTET","188028"
"2016-09-14","PDFTD-USTET","345582"
"2016-09-14","PDFTR-USTET","339608"
"2016-09-21","PDFTD-USTET","105781"
"2016-09-21","PDFTR-USTET","111732"
"2016-09-28","PDFTD-USTET","148617"
"2016-09-28","PDFTR-USTET","149222"
"2016-10-05","PDFTD-USTET","129115"
"2016-10-05","PDFTR-USTET","133348"
"2016-10-12","PDFTD-USTET","154624"
"2016-10-12","PDFTR-USTET","159036"
"2016-10-19","PDFTD-USTET","265618"
"2016-10-19","PDFTR-USTET","261810"
"2016-10-26","PDFTD-USTET","128513"
"2016-10-26","PDFTR-USTET","128996"
"2016-11-02","PDFTD-USTET","110937"
"2016-11-02","PDFTR-USTET","115484"
"2016-11-09","PDFTD-USTET","100421"
"2016-11-09","PDFTR-USTET","103951"
"2016-11-16","PDFTD-USTET","146641"
"2016-11-16","PDFTR-USTET","161584"
"2016-11-23","PDFTD-USTET","250171"
"2016-11-23","PDFTR-USTET","251146"
"2016-11-30","PDFTD-USTET","164065"
"2016-11-30","PDFTR-USTET","173142"
"2016-12-07","PDFTD-USTET","178203"
"2016-12-07","PDFTR-USTET","184454"
"2016-12-14","PDFTD-USTET","420930"
"2016-12-14","PDFTR-USTET","411513"
"2016-12-21","PDFTD-USTET","123877"
"2016-12-21","PDFTR-USTET","127089"
"2016-12-28","PDFTD-USTET","170828"
"2016-12-28","PDFTR-USTET","161493"
"2017-01-04","PDFTD-USTET","131956"
"2017-01-04","PDFTR-USTET","131324"
"2017-01-11","PDFTD-USTET","87183"
"2017-01-11","PDFTR-USTET","94049"
"2017-01-18","PDFTD-USTET","91005"
"2017-01-18","PDFTR-USTET","95782"
"2017-01-25","PDFTD-USTET","90206"
"2017-01-25","PDFTR-USTET","95745"
"2017-02-01","PDFTD-USTET","82224"
"2017-02-01","PDFTR-USTET","86203"
"2017-02-08","PDFTD-USTET","82593"
"2017-02-08","PDFTR-USTET","86234"
"2017-02-15","PDFTD-USTET","79693"
"2017-02-15","PDFTR-USTET","79576"
"2017-02-22","PDFTD-USTET","83565"
"2017-02-22","PDFTR-USTET","87481"
"2017-03-01","PDFTD-USTET","106772"
"2017-03-01","PDFTR-USTET","114296"
"2017-03-08","PDFTD-USTET","116872"
"2017-03-08","PDFTR-USTET","120065"
"2017-03-15","PDFTD-USTET","128878"
"2017-03-15","PDFTR-USTET","137946"
"2017-03-22","PDFTD-USTET","109962"
"2017-03-22","PDFTR-USTET","116144"
"2017-03-29","PDFTD-USTET","104740"
"2017-03-29","PDFTR-USTET","108974"
